OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,LOGRECNO
132,42,101,6600,42101006600,66,Census Tract 66,G5020,S,651244,0,39.9293155,-75.2298425,10399
133,42,101,36301,42101036301,363.01,Census Tract 363.01,G5020,S,2322732,66075,40.0895349,-74.9667387,10681
134,42,101,36400,42101036400,364,Census Tract 364,G5020,S,4501110,8014,40.1127747,-74.9789137,10684
135,42,101,36600,42101036600,366,Census Tract 366,G5020,S,1004313,1426278,39.9470272,-75.1404472,10687
136,42,101,34803,42101034803,348.03,Census Tract 348.03,G5020,S,1271533,8021,40.0619427,-75.0023705,10663
137,42,101,34702,42101034702,347.02,Census Tract 347.02,G5020,S,1016206,0,40.0570427,-75.0283288,10660
138,42,101,36202,42101036202,362.02,Census Tract 362.02,G5020,S,1116115,2329,40.0838623,-74.9781805,10679
139,42,101,3800,42101003800,38,Census Tract 38,G5020,S,1089154,0,39.9184658,-75.1831323,10380
140,42,101,8302,42101008302,83.02,Census Tract 83.02,G5020,S,425234,0,39.9566981,-75.2414378,10416
141,42,101,17602,42101017602,176.02,Census Tract 176.02,G5020,S,400458,0,39.9967182,-75.1305528,10507
142,42,101,1002,42101001002,10.02,Census Tract 10.02,G5020,S,471662,0,39.9450045,-75.1466193,10349
143,42,101,1001,42101001001,10.01,Census Tract 10.01,G5020,S,229399,0,39.9456722,-75.151602,10348
144,42,101,402,42101000402,4.02,Census Tract 4.02,G5020,S,303680,0,39.9532973,-75.1686952,10339
145,42,101,401,42101000401,4.01,Census Tract 4.01,G5020,S,214766,14981,39.9541871,-75.1758082,10338
146,42,101,12204,42101012204,122.04,Census Tract 122.04,G5020,S,849290,56473,40.0009407,-75.2120769,10457
147,42,101,12203,42101012203,122.03,Census Tract 122.03,G5020,S,226108,0,40.0074668,-75.2093526,10456
148,42,101,13602,42101013602,136.02,Census Tract 136.02,G5020,S,234732,0,39.9715714,-75.1798097,10466
149,42,101,34501,42101034501,345.01,Census Tract 345.01,G5020,S,447469,0,40.0749091,-75.0392089,10656
150,42,101,34502,42101034502,345.02,Census Tract 345.02,G5020,S,1009269,0,40.0814446,-75.0383811,10657
151,42,101,1102,42101001102,11.02,Census Tract 11.02,G5020,S,204062,0,39.9442654,-75.156696,10351
152,42,101,902,42101000902,9.02,Census Tract 9.02,G5020,S,155164,0,39.9471596,-75.1566389,10347
153,42,101,901,42101000901,9.01,Census Tract 9.01,G5020,S,105510,0,39.9478866,-75.1623004,10346
154,42,101,17201,42101017201,172.01,Census Tract 172.01,G5020,S,262958,0,39.9993972,-75.1686145,10501
155,42,101,17202,42101017202,172.02,Census Tract 172.02,G5020,S,290610,0,39.998667,-75.1742061,10502
156,42,101,27401,42101027401,274.01,Census Tract 274.01,G5020,S,326659,0,40.0386049,-75.1286496,10586
157,42,101,20101,42101020101,201.01,Census Tract 201.01,G5020,S,483577,0,40.0036824,-75.1553072,10526
158,42,101,20102,42101020102,201.02,Census Tract 201.02,G5020,S,373125,0,40.0111415,-75.1545676,10527
159,42,101,31101,42101031101,311.01,Census Tract 311.01,G5020,S,349649,0,40.0422496,-75.0785449,10622
160,42,101,31102,42101031102,311.02,Census Tract 311.02,G5020,S,397973,0,40.037085,-75.0833729,10623
161,42,101,19502,42101019502,195.02,Census Tract 195.02,G5020,S,370302,0,40.003403,-75.1300445,10521
162,42,101,19501,42101019501,195.01,Census Tract 195.01,G5020,S,393883,0,40.0004303,-75.1316227,10520
163,42,101,28901,42101028901,289.01,Census Tract 289.01,G5020,S,598655,0,40.0171008,-75.115182,10603
164,42,101,28902,42101028902,289.02,Census Tract 289.02,G5020,S,772294,6267,40.0216105,-75.1116877,10604
165,42,101,33101,42101033101,331.01,Census Tract 331.01,G5020,S,486954,0,40.0403093,-75.0379505,10641
166,42,101,33102,42101033102,331.02,Census Tract 331.02,G5020,S,718272,0,40.045105,-75.0272869,10642
167,42,101,31501,42101031501,315.01,Census Tract 315.01,G5020,S,587242,0,40.0365919,-75.0481642,10628
168,42,101,30501,42101030501,305.01,Census Tract 305.01,G5020,S,377375,0,40.0428163,-75.0994351,10615
169,42,101,30502,42101030502,305.02,Census Tract 305.02,G5020,S,699246,0,40.0457206,-75.1046619,10616
170,42,101,9802,42101009802,98.02,Census Tract 98.02,G5020,S,611026,0,39.9745879,-75.2679037,10433
171,42,101,18001,42101018001,180.01,Census Tract 180.01,G5020,S,387383,0,39.9810569,-75.1128,10512
172,42,101,17702,42101017702,177.02,Census Tract 177.02,G5020,S,489258,0,39.9950621,-75.1231399,10509
173,42,101,17701,42101017701,177.01,Census Tract 177.01,G5020,S,241053,0,39.996447,-75.1167526,10508
174,42,101,35602,42101035602,356.02,Census Tract 356.02,G5020,S,1394868,1863,40.1079419,-75.0480601,10671
175,42,101,35701,42101035701,357.01,Census Tract 357.01,G5020,S,598625,718,40.1095846,-75.0286811,10672
176,42,101,35702,42101035702,357.02,Census Tract 357.02,G5020,S,1559149,0,40.1130914,-75.0374316,10673
177,42,101,35601,42101035601,356.01,Census Tract 356.01,G5020,S,2029707,12498,40.0973908,-75.0388184,10670
178,42,101,15101,42101015101,151.01,Census Tract 151.01,G5020,S,193072,0,39.9869632,-75.1857502,10480
179,42,101,15102,42101015102,151.02,Census Tract 151.02,G5020,S,556570,0,39.986143,-75.179428,10481
180,42,101,36501,42101036501,365.01,Census Tract 365.01,G5020,S,1816093,7168,40.1290877,-75.0120077,10685
181,42,101,980400,42101980400,9804,Census Tract 9804,G5020,S,2923998,51364,39.8798897,-75.2337414,10712
182,42,101,13402,42101013402,134.02,Census Tract 134.02,G5020,S,238612,0,39.9653623,-75.1690326,10463
183,42,101,13401,42101013401,134.01,Census Tract 134.01,G5020,S,164058,0,39.9659574,-75.1752507,10462
184,42,101,13601,42101013601,136.01,Census Tract 136.01,G5020,S,167625,0,39.9689697,-75.1785774,10465
185,42,101,37900,42101037900,379,Census Tract 379,G5020,S,1374524,0,39.9910899,-75.0927158,10696
186,42,101,38200,42101038200,382,Census Tract 382,G5020,S,1828671,25840,39.9963741,-75.0973643,10699
187,42,101,38000,42101038000,380,Census Tract 380,G5020,S,874602,0,40.0052279,-75.0807845,10697
188,42,101,38100,42101038100,381,Census Tract 381,G5020,S,3335029,1629584,40.0189334,-75.0399564,10698
189,42,101,38400,42101038400,384,Census Tract 384,G5020,S,2546785,0,40.0714163,-75.2332568,10701
190,42,101,100,42101000100,1,Census Tract 1,G5020,S,704909,0,39.9523827,-75.1466628,10335
191,42,101,200,42101000200,2,Census Tract 2,G5020,S,382478,0,39.9553999,-75.1569775,10336
192,42,101,300,42101000300,3,Census Tract 3,G5020,S,548342,356,39.956878,-75.1716655,10337
193,42,101,500,42101000500,5,Census Tract 5,G5020,S,428783,0,39.9519534,-75.1581776,10340
194,42,101,600,42101000600,6,Census Tract 6,G5020,S,172655,0,39.9493845,-75.1583354,10341
195,42,101,700,42101000700,7,Census Tract 7,G5020,S,246682,7087,39.9510463,-75.1729143,10342
196,42,101,3200,42101003200,32,Census Tract 32,G5020,S,491790,0,39.9333011,-75.1854187,10375
197,42,101,3300,42101003300,33,Census Tract 33,G5020,S,1062354,72863,39.9384405,-75.1958253,10376
198,42,101,3600,42101003600,36,Census Tract 36,G5020,S,964539,0,39.9279255,-75.1920206,10377
199,42,101,3701,42101003701,37.01,Census Tract 37.01,G5020,S,355619,0,39.9276728,-75.1806654,10378
200,42,101,3702,42101003702,37.02,Census Tract 37.02,G5020,S,247413,0,39.9245283,-75.1824354,10379
201,42,101,4101,42101004101,41.01,Census Tract 41.01,G5020,S,374000,0,39.9229611,-75.1589741,10385
202,42,101,4002,42101004002,40.02,Census Tract 40.02,G5020,S,344837,0,39.9188943,-75.167416,10384
203,42,101,3902,42101003902,39.02,Census Tract 39.02,G5020,S,452596,0,39.9167178,-75.1744119,10382
204,42,101,4001,42101004001,40.01,Census Tract 40.01,G5020,S,314952,0,39.9238035,-75.1662102,10383
205,42,101,4102,42101004102,41.02,Census Tract 41.02,G5020,S,391854,0,39.9179425,-75.1600629,10386
206,42,101,4202,42101004202,42.02,Census Tract 42.02,G5020,S,453343,0,39.916857,-75.1516284,10388
207,42,101,4201,42101004201,42.01,Census Tract 42.01,G5020,S,361679,0,39.9219554,-75.151264,10387
208,42,101,7900,42101007900,79,Census Tract 79,G5020,S,377950,0,39.950463,-75.218257,10410
209,42,101,8000,42101008000,80,Census Tract 80,G5020,S,430471,0,39.9506613,-75.2268423,10411
210,42,101,8200,42101008200,82,Census Tract 82,G5020,S,832334,11136,39.9491574,-75.2444494,10414
211,42,101,17601,42101017601,176.01,Census Tract 176.01,G5020,S,579127,0,39.993926,-75.1343448,10506
212,42,101,8301,42101008301,83.01,Census Tract 83.01,G5020,S,510557,6713,39.957781,-75.2467384,10415
213,42,101,8400,42101008400,84,Census Tract 84,G5020,S,501765,0,39.9579899,-75.2354681,10417
214,42,101,8500,42101008500,85,Census Tract 85,G5020,S,621445,0,39.9568821,-75.2265389,10418
215,42,101,9000,42101009000,90,Census Tract 90,G5020,S,436319,0,39.9595116,-75.1906245,10425
216,42,101,9100,42101009100,91,Census Tract 91,G5020,S,425573,0,39.9594179,-75.1977245,10426
217,42,101,9200,42101009200,92,Census Tract 92,G5020,S,512009,0,39.9601608,-75.2074723,10427
218,42,101,9300,42101009300,93,Census Tract 93,G5020,S,402475,0,39.9622914,-75.2240225,10428
219,42,101,6700,42101006700,67,Census Tract 67,G5020,S,1001467,0,39.9242475,-75.2242816,10400
220,42,101,6900,42101006900,69,Census Tract 69,G5020,S,704352,102803,39.9306204,-75.2146526,10401
221,42,101,7000,42101007000,70,Census Tract 70,G5020,S,469047,0,39.935185,-75.221477,10402
222,42,101,7200,42101007200,72,Census Tract 72,G5020,S,502614,0,39.944637,-75.2332168,10405
223,42,101,7300,42101007300,73,Census Tract 73,G5020,S,387201,0,39.9448185,-75.2232916,10406
224,42,101,7400,42101007400,74,Census Tract 74,G5020,S,675930,0,39.9408575,-75.2143067,10407
225,42,101,7700,42101007700,77,Census Tract 77,G5020,S,322260,0,39.9463523,-75.2082584,10408
226,42,101,7800,42101007800,78,Census Tract 78,G5020,S,427404,0,39.946458,-75.2162637,10409
227,42,101,11500,42101011500,115,Census Tract 115,G5020,S,370456,0,39.9773687,-75.2518303,10449
228,42,101,11700,42101011700,117,Census Tract 117,G5020,S,654019,0,39.991907,-75.2404371,10450
229,42,101,11800,42101011800,118,Census Tract 118,G5020,S,915129,0,39.9852889,-75.2357395,10451
230,42,101,11900,42101011900,119,Census Tract 119,G5020,S,691111,0,39.9861142,-75.2288429,10452
231,42,101,12000,42101012000,120,Census Tract 120,G5020,S,600681,0,39.9955323,-75.2297466,10453
232,42,101,12100,42101012100,121,Census Tract 121,G5020,S,876796,5378,39.9964998,-75.2223795,10454
233,42,101,12500,42101012500,125,Census Tract 125,G5020,S,864810,49075,39.9613701,-75.1720837,10458
234,42,101,13100,42101013100,131,Census Tract 131,G5020,S,322157,0,39.9651312,-75.1507381,10459
235,42,101,13200,42101013200,132,Census Tract 132,G5020,S,426671,0,39.9662042,-75.1571335,10460
236,42,101,13300,42101013300,133,Census Tract 133,G5020,S,357932,0,39.9666126,-75.1629455,10461
237,42,101,13500,42101013500,135,Census Tract 135,G5020,S,404891,0,39.9693564,-75.1700367,10464
238,42,101,13700,42101013700,137,Census Tract 137,G5020,S,589738,0,39.9772752,-75.1842323,10467
239,42,101,17000,42101017000,170,Census Tract 170,G5020,S,1570376,50400,40.0078614,-75.1834204,10499
240,42,101,17100,42101017100,171,Census Tract 171,G5020,S,1140882,0,40.0027449,-75.1763248,10500
241,42,101,17300,42101017300,173,Census Tract 173,G5020,S,874586,0,39.9985707,-75.1609337,10503
242,42,101,17400,42101017400,174,Census Tract 174,G5020,S,353985,0,39.9962138,-75.1503586,10504
243,42,101,17500,42101017500,175,Census Tract 175,G5020,S,719915,6252,39.997915,-75.1429842,10505
244,42,101,17800,42101017800,178,Census Tract 178,G5020,S,662905,0,39.9913734,-75.1173063,10510
245,42,101,17900,42101017900,179,Census Tract 179,G5020,S,714008,0,39.9870535,-75.113934,10511
246,42,101,18300,42101018300,183,Census Tract 183,G5020,S,1834680,185387,39.9956035,-75.0746225,10514
247,42,101,18400,42101018400,184,Census Tract 184,G5020,S,1285745,949471,39.9996644,-75.0637363,10515
248,42,101,18800,42101018800,188,Census Tract 188,G5020,S,663288,0,39.9973659,-75.1058296,10516
249,42,101,21700,42101021700,217,Census Tract 217,G5020,S,1559576,0,40.0450277,-75.2239451,10543
250,42,101,21800,42101021800,218,Census Tract 218,G5020,S,996088,0,40.0574759,-75.2324353,10544
251,42,101,21900,42101021900,219,Census Tract 219,G5020,S,1410069,51091,40.0505829,-75.2470033,10545
252,42,101,22000,42101022000,220,Census Tract 220,G5020,S,2944018,99558,40.0562177,-75.2520092,10546
253,42,101,980100,42101980100,9801,Census Tract 9801,G5020,S,5476589,240667,40.0509585,-75.214916,10709
254,42,101,23100,42101023100,231,Census Tract 231,G5020,S,732803,1270,40.0666637,-75.2038514,10547
255,42,101,23500,42101023500,235,Census Tract 235,G5020,S,775430,0,40.0394435,-75.2007925,10548
256,42,101,23600,42101023600,236,Census Tract 236,G5020,S,978096,0,40.0427145,-75.194694,10549
257,42,101,23700,42101023700,237,Census Tract 237,G5020,S,1072973,0,40.0487394,-75.1886069,10550
258,42,101,23800,42101023800,238,Census Tract 238,G5020,S,781630,0,40.038937,-75.1827038,10551
259,42,101,23900,42101023900,239,Census Tract 239,G5020,S,486037,2704,40.0339713,-75.1875115,10552
260,42,101,24000,42101024000,240,Census Tract 240,G5020,S,617080,0,40.0280807,-75.1794623,10553
261,42,101,25700,42101025700,257,Census Tract 257,G5020,S,748205,0,40.0724586,-75.1962708,10568
262,42,101,25800,42101025800,258,Census Tract 258,G5020,S,586719,0,40.0739801,-75.1823113,10569
263,42,101,25900,42101025900,259,Census Tract 259,G5020,S,549415,0,40.0799255,-75.1759762,10570
264,42,101,26000,42101026000,260,Census Tract 260,G5020,S,543433,0,40.0761235,-75.169456,10571
265,42,101,26100,42101026100,261,Census Tract 261,G5020,S,649364,0,40.0704645,-75.1755189,10572
266,42,101,26200,42101026200,262,Census Tract 262,G5020,S,555958,0,40.066494,-75.1692176,10573
267,42,101,34801,42101034801,348.01,Census Tract 348.01,G5020,S,1385963,5188,40.0545325,-75.0163104,10661
268,42,101,26302,42101026302,263.02,Census Tract 263.02,G5020,S,704112,0,40.0687425,-75.1571945,10575
269,42,101,26400,42101026400,264,Census Tract 264,G5020,S,796819,0,40.0625462,-75.1620066,10576
270,42,101,26500,42101026500,265,Census Tract 265,G5020,S,545961,0,40.0587255,-75.1546921,10577
271,42,101,26600,42101026600,266,Census Tract 266,G5020,S,913982,0,40.0634828,-75.1473266,10578
272,42,101,26700,42101026700,267,Census Tract 267,G5020,S,643873,0,40.0547569,-75.1479247,10579
273,42,101,26800,42101026800,268,Census Tract 268,G5020,S,774174,0,40.055527,-75.1399312,10580
274,42,101,29900,42101029900,299,Census Tract 299,G5020,S,591451,0,40.0131465,-75.0747146,10611
275,42,101,30000,42101030000,300,Census Tract 300,G5020,S,910854,0,40.0186719,-75.078088,10612
276,42,101,30100,42101030100,301,Census Tract 301,G5020,S,725113,0,40.0204947,-75.0885046,10613
277,42,101,30200,42101030200,302,Census Tract 302,G5020,S,901710,0,40.0259863,-75.0823128,10614
278,42,101,30600,42101030600,306,Census Tract 306,G5020,S,1007799,0,40.0504922,-75.0943787,10617
279,42,101,30700,42101030700,307,Census Tract 307,G5020,S,653309,0,40.0573133,-75.088539,10618
280,42,101,30800,42101030800,308,Census Tract 308,G5020,S,795704,0,40.0547831,-75.0819056,10619
281,42,101,30900,42101030900,309,Census Tract 309,G5020,S,645014,0,40.0437632,-75.0851914,10620
282,42,101,31000,42101031000,310,Census Tract 310,G5020,S,1063411,0,40.0497292,-75.0744541,10621
283,42,101,31200,42101031200,312,Census Tract 312,G5020,S,429736,0,40.0354204,-75.077455,10624
284,42,101,31300,42101031300,313,Census Tract 313,G5020,S,711141,0,40.039319,-75.069814,10625
285,42,101,31600,42101031600,316,Census Tract 316,G5020,S,713953,0,40.0326126,-75.0590717,10630
286,42,101,31700,42101031700,317,Census Tract 317,G5020,S,881689,0,40.030605,-75.0683989,10631
287,42,101,36303,42101036303,363.03,Census Tract 363.03,G5020,S,2555861,0,40.1051833,-74.970225,10683
288,42,101,34701,42101034701,347.01,Census Tract 347.01,G5020,S,1148190,57,40.0645576,-75.0329783,10659
289,42,101,34802,42101034802,348.02,Census Tract 348.02,G5020,S,1232182,8014,40.0687035,-75.00973,10662
290,42,101,34900,42101034900,349,Census Tract 349,G5020,S,1944040,0,40.0453848,-75.0090768,10664
291,42,101,35100,42101035100,351,Census Tract 351,G5020,S,997442,666018,40.0488411,-74.9859716,10665
292,42,101,35200,42101035200,352,Census Tract 352,G5020,S,1838264,27863,40.0559122,-74.9907443,10666
293,42,101,35301,42101035301,353.01,Census Tract 353.01,G5020,S,1375222,36973,40.0659313,-74.9934646,10667
294,42,101,26301,42101026301,263.01,Census Tract 263.01,G5020,S,406340,0,40.0728148,-75.1637161,10574
295,42,101,804,42101000804,8.04,Census Tract 8.04,G5020,S,145453,0,39.9485646,-75.1677563,10345
296,42,101,1202,42101001202,12.02,Census Tract 12.02,G5020,S,308560,0,39.9459117,-75.1699475,10353
297,42,101,1201,42101001201,12.01,Census Tract 12.01,G5020,S,327555,30728,39.9471666,-75.1798721,10352
298,42,101,803,42101000803,8.03,Census Tract 8.03,G5020,S,152820,0,39.9493748,-75.1742489,10344
299,42,101,980900,42101980900,9809,Census Tract 9809,G5020,S,17228698,3463789,39.9051799,-75.2174145,10717
300,42,101,2702,42101002702,27.02,Census Tract 27.02,G5020,S,367673,0,39.9280114,-75.1495606,10368
301,42,101,3002,42101003002,30.02,Census Tract 30.02,G5020,S,226951,0,39.9327263,-75.1711915,10373
302,42,101,3001,42101003001,30.01,Census Tract 30.01,G5020,S,226547,0,39.929064,-75.1719912,10372
303,42,101,2802,42101002802,28.02,Census Tract 28.02,G5020,S,362690,0,39.9288001,-75.1614073,10370
304,42,101,980700,42101980700,9807,Census Tract 9807,G5020,S,5957147,1730038,39.9104684,-75.1431656,10715
305,42,101,2701,42101002701,27.01,Census Tract 27.01,G5020,S,224840,0,39.9285526,-75.1537033,10367
306,42,101,980600,42101980600,9806,Census Tract 9806,G5020,S,1286624,0,39.9055378,-75.1707151,10714
307,42,101,33701,42101033701,337.01,Census Tract 337.01,G5020,S,973653,0,40.0672105,-75.0482983,10648
308,42,101,33702,42101033702,337.02,Census Tract 337.02,G5020,S,1057798,0,40.0707532,-75.0578212,10649
309,42,101,31502,42101031502,315.02,Census Tract 315.02,G5020,S,578101,0,40.0392658,-75.0548693,10629
310,42,101,31401,42101031401,314.01,Census Tract 314.01,G5020,S,594849,0,40.0457134,-75.0665728,10626
311,42,101,31402,42101031402,314.02,Census Tract 314.02,G5020,S,564136,0,40.0432797,-75.060286,10627
312,42,101,16701,42101016701,167.01,Census Tract 167.01,G5020,S,254046,0,39.9911965,-75.1619017,10494
313,42,101,16702,42101016702,167.02,Census Tract 167.02,G5020,S,355103,0,39.9904175,-75.1578177,10495
314,42,101,27901,42101027901,279.01,Census Tract 279.01,G5020,S,415780,0,40.0458879,-75.1544482,10592
315,42,101,27902,42101027902,279.02,Census Tract 279.02,G5020,S,889784,0,40.0374381,-75.1543087,10593
316,42,101,8101,42101008101,81.01,Census Tract 81.01,G5020,S,243700,0,39.9483649,-75.2360506,10412
317,42,101,7102,42101007102,71.02,Census Tract 71.02,G5020,S,415761,0,39.9409204,-75.2282511,10404
318,42,101,8802,42101008802,88.02,Census Tract 88.02,G5020,S,390951,0,39.9529808,-75.2027893,10424
319,42,101,8702,42101008702,87.02,Census Tract 87.02,G5020,S,283566,0,39.9538114,-75.2070435,10422
320,42,101,8701,42101008701,87.01,Census Tract 87.01,G5020,S,259523,0,39.9535656,-75.2104988,10421
321,42,101,8102,42101008102,81.02,Census Tract 81.02,G5020,S,362526,0,39.9522216,-75.2345584,10413
322,42,101,8602,42101008602,86.02,Census Tract 86.02,G5020,S,369142,0,39.9569725,-75.216703,10420
323,42,101,37500,42101037500,375,Census Tract 375,G5020,S,1032702,1496,39.9840699,-75.2551922,10692
324,42,101,980800,42101980800,9808,Census Tract 9808,G5020,S,2106698,43823,39.9714517,-75.262177,10716
325,42,101,18002,42101018002,180.02,Census Tract 180.02,G5020,S,439791,0,39.9836344,-75.1067096,10513
326,42,101,8801,42101008801,88.01,Census Tract 88.01,G5020,S,184674,0,39.9539319,-75.1984477,10423
327,42,101,12201,42101012201,122.01,Census Tract 122.01,G5020,S,380689,2325,40.0034648,-75.2106388,10455
328,42,101,9801,42101009801,98.01,Census Tract 98.01,G5020,S,297977,0,39.9775172,-75.2665972,10432
329,42,101,7101,42101007101,71.01,Census Tract 71.01,G5020,S,253256,0,39.938158,-75.2249984,10403
